Sample Number,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,2.5,0.5,2,-1,1,-1,0.5,1.5,0.5,-1.5
2,0,0,0.5,1,1.5,1,-1,1,1.5,-1
3,1.5,1,1,-1,0,-1.5,-1,-1,1,-1
4,0,0.5,-2,0,-1,1.5,-1.5,0,-2,-1.5
5,0,0,0,-0.5,0.5,1,-0.5,-0.5,0,0
6,1,-0.5,0,0,0,0.5,-1,1,-2,1
7,1,-1,-1,-1,0,1.5,0,1,0,0
8,0,-1.5,-0.5,1.5,0,0,0,-1,0.5,-0.5
9,-2,-1.5,1.5,1.5,0,0,0.5,1,0,1
10,-0.5,3.5,0,-1,-1.5,-1.5,-1,-1,1,0.5
11,0,1.5,0,0,2,-1.5,0.5,-0.5,2,-1
12,0,-2,-0.5,0,-0.5,2,1.5,0,0.5,-1
13,-1,-0.5,-0.5,-1,0,0.5,0.5,-1.5,-1,-1
14,0.5,1,-1,-0.5,-2,-1,-1.5,0,1.5,1.5
15,1,0,1.5,1.5,1,-1,0,1,-2,-1.5
